# DeltaF, Fb, t0, u0, tE, rho, Pb, mu_b, sig_b
0.0995291 0.54277 7505.34 0.436034 320.156 0.00272595 0.778021 0.410372 0.447226
0.745746 0.226902 7884.22 0.279734 33.5392 0.00192204 0.520637 0.209583 0.101081
0.0767313 0.209974 7907.18 0.265452 40.3172 0.0150901 0.958191 0.659761 0.0965849
0.692246 0.243957 7883.84 0.327208 32.1607 0.0102572 0.552838 0.200317 0.0945413
0.697796 0.229703 7884.08 0.349456 28.9972 0.0135618 0.567802 0.219871 0.102201
0.752136 0.227997 7884.25 0.305713 31.5611 0.0124475 0.529525 0.210062 0.102122
0.743391 0.228398 7884.32 0.303448 31.6188 0.0071455 0.541418 0.20881 0.101446
0.747744 0.22955 7884.1 0.299804 31.8407 0.0673764 0.531068 0.210065 0.102466
0.743449 0.228386 7884.15 0.29663 32.3448 0.0062227 0.528347 0.20941 0.102124
0.780409 0.23203 7884.7 0.339068 26.7092 0.0009682 0.496594 0.210749 0.104041
0.747716 0.228246 7884.13 0.296512 32.4837 0.0512164 0.526155 0.211434 0.101873
0.738518 0.226485 7884.17 0.304745 32.4189 0.0502368 0.512466 0.211582 0.101777
0.292824 0.205503 7906.83 0.208519 35.1934 0.00453841 0.85249 0.825527 0.63134
0.748879 0.228168 7884.27 0.285098 32.5374 0.000507555 0.524953 0.210388 0.103349
0.745642 0.228241 7884.22 0.298766 32.1133 0.000269766 0.513183 0.20977 0.100971
0.818945 0.438856 7935.21 0.828911 213.283 0.00278356 0.275498 0.549099 0.568156
0.759838 0.226026 7884.2 0.288794 32.5608 0.0506605 0.5469 0.210592 0.102601
0.745882 0.227761 7884.13 0.289746 32.9212 0.047937 0.5203 0.211697 0.101641
0.754596 0.233087 7884.18 0.282519 32.674 0.0258084 0.532127 0.207584 0.0973507
0.631213 0.200752 7880.52 0.8907 23.0792 0.00038627 0.537587 0.217741 0.127964
0.651152 0.254584 7878.57 0.611832 35.3957 0.00822584 0.504267 0.188764 0.121317
0.752833 0.230964 7884.22 0.256637 34.8351 0.041833 0.539547 0.207575 0.0999743
0.678944 0.241753 7882.57 0.401187 29.0978 0.000752963 0.534932 0.205249 0.0940201
0.739519 0.243051 7884.31 0.368409 27.3616 0.00742179 0.504137 0.201505 0.097739
0.74588 0.227284 7884.18 0.281511 33.5906 0.00321805 0.533384 0.209966 0.102661
0.770777 0.225964 7884.31 0.255737 34.9636 0.0152972 0.515635 0.21275 0.101106
0.457223 0.217539 7355.02 0.50422 15.6577 0.0106282 0.829268 0.487897 0.422117
0.486722 0.788984 7778.94 1.16627 187.312 0.00290343 0.195383 0.183753 0.252743
0.741935 0.226957 7884.16 0.286246 33.7591 0.0478958 0.524346 0.211236 0.101087
0.745695 0.234999 7884.05 0.256607 35.8456 0.00170139 0.508283 0.209058 0.100019
