#  DeltaF, Fb, t0, u0, tE, rho
# 
9.268300000000000427e-01 2.195290000000000019e-01 7.886010000000000218e+03 9.621760000000000312e-01 8.457879999999999399e+00 3.696230000000000002e-03
8.606059999999999821e-01 2.095360000000000000e-01 7.886640000000000327e+03 1.266369999999999996e+00 8.313109999999999999e+00 6.524789999999999930e-03
9.595040000000000235e-01 2.205320000000000058e-01 7.886090000000000146e+03 1.490299999999999958e+00 6.214870000000000339e+00 3.573869999999999825e-02
9.801950000000000385e-01 2.168190000000000117e-01 7.886340000000000146e+03 7.648549999999999516e-01 1.049150000000000027e+01 3.719860000000000180e-03
8.254340000000000011e-01 2.188479999999999870e-01 7.886520000000000437e+03 8.527799999999999825e-01 1.020659999999999989e+01 3.718449999999999880e-03
7.659150000000000125e-01 2.167630000000000112e-01 7.886619999999999891e+03 1.088359999999999994e+00 8.749629999999999797e+00 1.229099999999999984e-02
9.597350000000000048e-01 2.080869999999999942e-01 7.885880000000000109e+03 1.271400000000000086e+00 6.920049999999999812e+00 5.592609999999999595e-03
9.881189999999999696e-01 2.153740000000000099e-01 7.886140000000000327e+03 9.988529999999999909e-01 8.160660000000000025e+00 6.616200000000000249e-04
9.982130000000000170e-01 2.194109999999999949e-01 7.886329999999999927e+03 8.323089999999999655e-01 9.577410000000000423e+00 2.136700000000000058e-03
8.939599999999999769e-01 2.130610000000000004e-01 7.886279999999999745e+03 1.268189999999999928e+00 7.585079999999999600e+00 1.157670000000000053e-02
9.600619999999999710e-01 2.306519999999999959e-01 7.886090000000000146e+03 1.451230000000000020e+00 6.307870000000000310e+00 5.232900000000000398e-04
8.980839999999999934e-01 2.066659999999999886e-01 7.885739999999999782e+03 9.783539999999999459e-01 9.391579999999999373e+00 1.953910000000000022e-02
8.308729999999999727e-01 2.168219999999999870e-01 7.885939999999999600e+03 1.014829999999999899e+00 8.966250000000000497e+00 7.095970000000000055e-03
9.373989999999999823e-01 2.124149999999999927e-01 7.885819999999999709e+03 5.172039999999999971e-01 1.270620000000000083e+01 6.823510000000000675e-05
9.432760000000000034e-01 2.226180000000000103e-01 7.885100000000000364e+03 1.090209999999999901e+00 7.832580000000000098e+00 4.111759999999999894e-03
9.794119999999999493e-01 2.238050000000000039e-01 7.886020000000000437e+03 1.228560000000000096e+00 7.316539999999999822e+00 1.775230000000000037e-03
9.545270000000000143e-01 2.135199999999999876e-01 7.885880000000000109e+03 1.302159999999999984e+00 6.956299999999999706e+00 8.070650000000000393e-03
9.847029999999999950e-01 2.141810000000000103e-01 7.885789999999999964e+03 1.461999999999999966e+00 6.296560000000000379e+00 2.882599999999999919e-03
9.941290000000000404e-01 2.144709999999999950e-01 7.886130000000000109e+03 7.385420000000000318e-01 1.014739999999999931e+01 1.155929999999999978e-02
9.750159999999999938e-01 2.136500000000000066e-01 7.886159999999999854e+03 1.193580000000000085e+00 7.293890000000000207e+00 1.789079999999999837e-02
9.461490000000000178e-01 2.199709999999999999e-01 7.886399999999999636e+03 1.018510000000000026e+00 8.410069999999999268e+00 3.239839999999999907e-03
9.650859999999999994e-01 2.145670000000000077e-01 7.886189999999999600e+03 1.467649999999999899e+00 6.487729999999999997e+00 5.180780000000000281e-03
8.630459999999999798e-01 2.139459999999999973e-01 7.885899999999999636e+03 1.280550000000000077e+00 7.829310000000000436e+00 2.328890000000000127e-02
9.620959999999999512e-01 2.218060000000000032e-01 7.886439999999999600e+03 1.419300000000000006e+00 6.475970000000000226e+00 1.032390000000000044e-02
9.334059999999999580e-01 2.173690000000000067e-01 7.885850000000000364e+03 1.480240000000000000e+00 6.438719999999999999e+00 6.812529999999999801e-03
9.464890000000000247e-01 2.155479999999999896e-01 7.885609999999999673e+03 8.225459999999999994e-01 9.387719999999999843e+00 1.345290000000000027e-02
9.404130000000000544e-01 2.131810000000000094e-01 7.885989999999999782e+03 1.020820000000000061e+00 7.941349999999999909e+00 4.961029999999999954e-03
9.133639999999999537e-01 2.178690000000000071e-01 7.885949999999999818e+03 1.285109999999999975e+00 7.136050000000000004e+00 2.035939999999999972e-02
7.359620000000000051e-01 2.119920000000000138e-01 7.886439999999999600e+03 1.408560000000000034e+00 7.702340000000000408e+00 2.779409999999999954e-03
9.297849999999999726e-01 2.143359999999999987e-01 7.885579999999999927e+03 1.052990000000000093e+00 8.080249999999999488e+00 3.403230000000000144e-02
9.894929999999999559e-01 2.167340000000000100e-01 7.886210000000000036e+03 1.074179999999999913e+00 7.375140000000000029e+00 9.218689999999999654e-04
9.500610000000000444e-01 2.158400000000000041e-01 7.885970000000000255e+03 1.399650000000000061e+00 6.772630000000000372e+00 1.427780000000000021e-02
9.466170000000000417e-01 2.187260000000000038e-01 7.886369999999999891e+03 1.407340000000000035e+00 6.795149999999999579e+00 4.846419999999999895e-02
9.820550000000000113e-01 2.133140000000000036e-01 7.885920000000000073e+03 1.412670000000000092e+00 6.590810000000000279e+00 2.905689999999999835e-03
9.940620000000000012e-01 2.057839999999999947e-01 7.886550000000000182e+03 1.101339999999999986e+00 8.163769999999999527e+00 1.699369999999999960e-03
9.278840000000000421e-01 2.137940000000000118e-01 7.885979999999999563e+03 1.202669999999999906e+00 7.871540000000000425e+00 2.269909999999999983e-02
9.654660000000000464e-01 2.176250000000000129e-01 7.886420000000000073e+03 9.416660000000000030e-01 8.483620000000000161e+00 1.227040000000000075e-02
9.471819999999999684e-01 2.126480000000000037e-01 7.886149999999999636e+03 7.012620000000000520e-01 1.088030000000000008e+01 1.612729999999999936e-03
9.395970000000000155e-01 2.134510000000000018e-01 7.885760000000000218e+03 9.114700000000000024e-01 8.759399999999999409e+00 3.902029999999999908e-04
9.739700000000000024e-01 2.140600000000000003e-01 7.885500000000000000e+03 1.253619999999999957e+00 7.239919999999999689e+00 3.198320000000000156e-03
8.649459999999999926e-01 2.155249999999999944e-01 7.886329999999999927e+03 1.021600000000000064e+00 9.478460000000000107e+00 2.170570000000000138e-02
8.798540000000000250e-01 2.193330000000000002e-01 7.886479999999999563e+03 1.477700000000000014e+00 7.292659999999999698e+00 1.428240000000000108e-03
9.852290000000000214e-01 2.191390000000000005e-01 7.885649999999999636e+03 1.383620000000000072e+00 6.135130000000000194e+00 3.075829999999999884e-03
9.785559999999999814e-01 2.107410000000000116e-01 7.885970000000000255e+03 1.136640000000000095e+00 7.781589999999999563e+00 1.044720000000000024e-02
9.589560000000000306e-01 2.162840000000000040e-01 7.885989999999999782e+03 5.650349999999999540e-01 1.278289999999999971e+01 2.782680000000000049e-03
9.455170000000000519e-01 2.170660000000000089e-01 7.886199999999999818e+03 1.262189999999999923e+00 7.512430000000000163e+00 2.048919999999999908e-02
9.674690000000000234e-01 2.182340000000000113e-01 7.886159999999999854e+03 1.319469999999999921e+00 7.301709999999999923e+00 8.901859999999999287e-03
9.162759999999999794e-01 2.143029999999999935e-01 7.886579999999999927e+03 9.819529999999999648e-01 8.976129999999999498e+00 1.131399999999999940e-02
9.116579999999999684e-01 2.165519999999999945e-01 7.885920000000000073e+03 1.321730000000000071e+00 7.295679999999999943e+00 1.652319999999999831e-02
9.574139999999999873e-01 2.146959999999999980e-01 7.886630000000000109e+03 8.206870000000000553e-01 9.494410000000000238e+00 4.212640000000000134e-02
9.516609999999999792e-01 2.098990000000000022e-01 7.886260000000000218e+03 1.355099999999999971e+00 6.918510000000000382e+00 2.642810000000000211e-03
9.936899999999999622e-01 2.165660000000000085e-01 7.885760000000000218e+03 1.341139999999999999e+00 6.800989999999999647e+00 6.208149999999999953e-03
8.249530000000000474e-01 2.140170000000000128e-01 7.885819999999999709e+03 7.981650000000000134e-01 1.021669999999999945e+01 1.802410000000000123e-02
9.691290000000000182e-01 2.259770000000000112e-01 7.885880000000000109e+03 5.983159999999999590e-01 1.102389999999999937e+01 2.096009999999999887e-02
9.966340000000000199e-01 2.111449999999999994e-01 7.886220000000000255e+03 1.126810000000000089e+00 7.659010000000000318e+00 1.367669999999999997e-02
9.874920000000000364e-01 2.174369999999999914e-01 7.886170000000000073e+03 1.040040000000000076e+00 8.127359999999999474e+00 3.105049999999999824e-04
9.176410000000000400e-01 2.199800000000000089e-01 7.885439999999999600e+03 1.290459999999999940e+00 7.124550000000000161e+00 4.420809999999999844e-03
8.750539999999999985e-01 2.116540000000000088e-01 7.885609999999999673e+03 1.346919999999999895e+00 7.324449999999999683e+00 2.913479999999999889e-02
9.931830000000000380e-01 2.223759999999999903e-01 7.886180000000000291e+03 1.069239999999999968e+00 7.568649999999999878e+00 8.119440000000000338e-03
9.709889999999999910e-01 2.124149999999999927e-01 7.886039999999999964e+03 1.344559999999999977e+00 7.222339999999999982e+00 4.990650000000000121e-03
9.199910000000000032e-01 2.140170000000000128e-01 7.885119999999999891e+03 8.735380000000000367e-01 9.430110000000000881e+00 6.969740000000000310e-03
9.482589999999999630e-01 2.234349999999999947e-01 7.886140000000000327e+03 1.426209999999999978e+00 6.396939999999999849e+00 2.621249999999999969e-02
9.333470000000000377e-01 2.103430000000000022e-01 7.886500000000000000e+03 1.188900000000000068e+00 7.357420000000000293e+00 5.441660000000000247e-02
9.365360000000000351e-01 2.179119999999999946e-01 7.885539999999999964e+03 9.336889999999999912e-01 8.526759999999999451e+00 1.893209999999999988e-03
9.411249999999999893e-01 2.102860000000000007e-01 7.885710000000000036e+03 1.233489999999999975e+00 7.546359999999999957e+00 3.630800000000000000e-02
8.031059999999999865e-01 2.067299999999999971e-01 7.886409999999999854e+03 1.189270000000000049e+00 8.731389999999999318e+00 4.695040000000000151e-03
