#  DeltaF, Fb, t0, u0, tE, rho
# 
8.106870000000000465e-01 2.204349999999999921e-01 7.885609999999999673e+03 1.375170000000000003e+00 6.448739999999999917e+00 3.896170000000000015e-03
4.203749999999999987e-01 2.154280000000000084e-01 7.895949999999999818e+03 6.240160000000000151e-01 1.818850000000000122e+01 8.361620000000000164e-03
4.479739999999999833e-01 2.201400000000000023e-01 7.891869999999999891e+03 1.402020000000000044e+00 1.121990000000000087e+01 7.900290000000000784e-03
5.280610000000000026e-01 2.121699999999999975e-01 7.889670000000000073e+03 7.153110000000000301e-01 1.593650000000000055e+01 1.776590000000000114e-02
4.041489999999999805e-01 2.016400000000000137e-01 7.893250000000000000e+03 1.158250000000000002e+00 1.535360000000000014e+01 1.120230000000000010e-02
4.462269999999999848e-01 2.100090000000000012e-01 7.893000000000000000e+03 1.390959999999999974e+00 1.060909999999999975e+01 8.956260000000000610e-03
5.170649999999999968e-01 2.215860000000000052e-01 7.891640000000000327e+03 6.514630000000000143e-01 1.643690000000000140e+01 2.025180000000000122e-03
6.374220000000000441e-01 2.158170000000000088e-01 7.889289999999999964e+03 3.549619999999999997e-01 2.115680000000000049e+01 1.941079999999999889e-02
4.259430000000000160e-01 2.260800000000000032e-01 7.893300000000000182e+03 4.769900000000000251e-01 2.165589999999999904e+01 1.705979999999999996e-02
3.971740000000000270e-01 2.220959999999999879e-01 7.894109999999999673e+03 1.009449999999999958e+00 1.387390000000000079e+01 6.359240000000000378e-03
7.766049999999999898e-01 2.129199999999999982e-01 7.886579999999999927e+03 1.053709999999999924e+00 1.056799999999999962e+01 3.936209999999999883e-03
3.868630000000000124e-01 2.185469999999999913e-01 7.892710000000000036e+03 8.734100000000000197e-01 1.752540000000000120e+01 5.616809999999999858e-03
5.551920000000000188e-01 2.135450000000000126e-01 7.892430000000000291e+03 3.825370000000000159e-01 2.350390000000000157e+01 2.986599999999999845e-03
4.316570000000000129e-01 2.178819999999999923e-01 7.893000000000000000e+03 7.810420000000000140e-01 1.504969999999999963e+01 4.687679999999999625e-03
8.037860000000000005e-01 2.132739999999999914e-01 7.887340000000000146e+03 7.614779999999999882e-01 1.132820000000000071e+01 1.484569999999999987e-02
5.151919999999999833e-01 2.151250000000000107e-01 7.890590000000000146e+03 9.611690000000000511e-01 1.357489999999999952e+01 1.379580000000000042e-02
4.339600000000000124e-01 2.177479999999999971e-01 7.892609999999999673e+03 9.938169999999999504e-01 1.347899999999999920e+01 3.242749999999999973e-03
9.007819999999999716e-01 2.202399999999999913e-01 7.884920000000000073e+03 2.869729999999999781e-01 2.271959999999999980e+01 1.632940000000000086e-02
5.051470000000000127e-01 2.236390000000000045e-01 7.893149999999999636e+03 1.459130000000000038e+00 8.598119999999999763e+00 1.943740000000000051e-02
5.231940000000000479e-01 2.134560000000000068e-01 7.890760000000000218e+03 1.244450000000000056e+00 1.230610000000000070e+01 2.714999999999999965e-03
4.433599999999999763e-01 2.130710000000000104e-01 7.893819999999999709e+03 9.871320000000000094e-01 1.341339999999999932e+01 1.143500000000000072e-02
4.724999999999999756e-01 2.241819999999999924e-01 7.891289999999999964e+03 1.128270000000000106e+00 1.167399999999999949e+01 7.919549999999999160e-03
5.160919999999999952e-01 2.238509999999999944e-01 7.891960000000000036e+03 6.596220000000000416e-01 1.772889999999999944e+01 2.841810000000000169e-02
5.619250000000000078e-01 2.100279999999999925e-01 7.892029999999999745e+03 1.276259999999999950e+00 9.307859999999999800e+00 2.031830000000000094e-02
9.926639999999999908e-01 2.204649999999999943e-01 7.885970000000000255e+03 1.362649999999999917e+00 6.593029999999999724e+00 2.373259999999999953e-02
4.507010000000000183e-01 2.072650000000000048e-01 7.894829999999999927e+03 1.439130000000000131e-01 5.600099999999999767e+01 1.018570000000000066e-02
8.870860000000000412e-01 2.271910000000000041e-01 7.886069999999999709e+03 3.753259999999999930e-01 1.799190000000000111e+01 1.197739999999999916e-02
9.581359999999999877e-01 2.129810000000000036e-01 7.886390000000000327e+03 4.765699999999999936e-01 1.602560000000000073e+01 2.109389999999999876e-02
4.546350000000000113e-01 2.212339999999999862e-01 7.891630000000000109e+03 1.194600000000000106e+00 1.216070000000000029e+01 2.157560000000000033e-02
9.055640000000000356e-01 2.155019999999999991e-01 7.886189999999999600e+03 1.412160000000000082e+00 6.696500000000000341e+00 1.019660000000000011e-02
5.054950000000000276e-01 2.303099999999999870e-01 7.894170000000000073e+03 1.185859999999999914e+00 1.060289999999999999e+01 4.164039999999999929e-03
8.752619999999999845e-01 2.162159999999999915e-01 7.885560000000000400e+03 6.861869999999999914e-01 1.281429999999999936e+01 5.782360000000000277e-03
9.073670000000000346e-01 2.140950000000000075e-01 7.885180000000000291e+03 1.202739999999999920e+00 7.887699999999999712e+00 2.141660000000000091e-02
5.108409999999999895e-01 2.184059999999999890e-01 7.891260000000000218e+03 1.219430000000000014e+00 1.152940000000000076e+01 1.692810000000000148e-02
4.553619999999999890e-01 2.209949999999999970e-01 7.892579999999999927e+03 1.377480000000000038e+00 1.107869999999999955e+01 3.627149999999999819e-02
4.473219999999999974e-01 2.147660000000000124e-01 7.890649999999999636e+03 7.454239999999999755e-01 1.545659999999999989e+01 1.740670000000000064e-02
3.968099999999999961e-01 2.025820000000000121e-01 7.895989999999999782e+03 7.027550000000000185e-01 1.967879999999999896e+01 4.640720000000000088e-03
4.588260000000000116e-01 2.239990000000000037e-01 7.896689999999999600e+03 2.951059999999999794e-01 2.545329999999999870e+01 1.957390000000000171e-02
8.411049999999999915e-01 2.295870000000000133e-01 7.885899999999999636e+03 2.335490000000000066e-01 2.657669999999999888e+01 1.944240000000000074e-03
9.476459999999999884e-01 2.258310000000000040e-01 7.885710000000000036e+03 7.037130000000000329e-01 1.029690000000000083e+01 2.772639999999999827e-02
4.097219999999999751e-01 2.133589999999999931e-01 7.894119999999999891e+03 1.476509999999999989e+00 1.078919999999999924e+01 3.393499999999999815e-03
5.149740000000000428e-01 2.129340000000000122e-01 7.893029999999999745e+03 1.283439999999999914e+00 1.098590000000000089e+01 7.269810000000000248e-04
4.137830000000000119e-01 2.194929999999999937e-01 7.895270000000000437e+03 1.086189999999999989e+00 1.569979999999999976e+01 1.074910000000000047e-04
4.923290000000000166e-01 2.015039999999999887e-01 7.892390000000000327e+03 1.264890000000000070e+00 1.071149999999999913e+01 3.876510000000000112e-03
4.605670000000000042e-01 2.148720000000000074e-01 7.892000000000000000e+03 1.087820000000000009e+00 1.433239999999999981e+01 1.295759999999999967e-02
4.897090000000000054e-01 2.115940000000000043e-01 7.893539999999999964e+03 8.233080000000000398e-01 1.307709999999999972e+01 2.107769999999999913e-04
4.926550000000000096e-01 2.152459999999999929e-01 7.892199999999999818e+03 1.333360000000000101e+00 1.180910000000000082e+01 7.413770000000000082e-03
8.252819999999999601e-01 2.199720000000000009e-01 7.886170000000000073e+03 1.240550000000000042e+00 8.294869999999999521e+00 1.026849999999999985e-02
4.180800000000000072e-01 2.151460000000000039e-01 7.894210000000000036e+03 7.013110000000000177e-01 1.910099999999999909e+01 4.279619999999999605e-03
4.484609999999999985e-01 2.183479999999999865e-01 7.893600000000000364e+03 1.278580000000000050e+00 1.167820000000000036e+01 6.759750000000000134e-03
8.120929999999999538e-01 2.209289999999999865e-01 7.886579999999999927e+03 6.841420000000000279e-01 1.171690000000000076e+01 4.734939999999999982e-03
5.459840000000000249e-01 2.215469999999999939e-01 7.891609999999999673e+03 1.057809999999999917e+00 1.178800000000000026e+01 7.523890000000000092e-03
4.358250000000000179e-01 2.079940000000000122e-01 7.894819999999999709e+03 1.132670000000000066e+00 1.418239999999999945e+01 2.526640000000000136e-02
9.027579999999999494e-01 2.191940000000000000e-01 7.885939999999999600e+03 1.369359999999999911e+00 6.900179999999999758e+00 1.866200000000000150e-02
